Name,ObstacleDensity,FoundSolution,TotalNodes,NodesVisited,PercentVisited,SolutionDistance,SolutionTime,MapWidthResolution,MapGenTime
Uniform Cost,Sparse,true,37636,29327,1.000000,101.733162,0.175000,194,0.056000
Uniform Cost,Sparse,true,84681,66350,1.000000,102.562988,0.870000,291,0.127000
Uniform Cost,Sparse,true,190969,148722,1.000000,102.378395,4.276000,437,0.282000
Uniform Cost,Sparse,false,430336,160956,1.000000,0.000000,5.001000,656,0.629000
Uniform Cost,Dense,true,100,81,1.000000,110.710678,0.000000,10,0.001000
Uniform Cost,Dense,true,121,114,1.000000,113.502563,0.000000,11,0.000000
Uniform Cost,Dense,true,289,259,1.000000,103.272629,0.000000,17,0.001000
Uniform Cost,Dense,true,625,540,1.000000,106.509651,0.000000,25,0.002000
Uniform Cost,Dense,true,1444,1190,1.000000,105.108185,0.001000,38,0.003000
Uniform Cost,Dense,true,3249,2546,1.000000,103.353874,0.002000,57,0.008000
Uniform Cost,Dense,true,7396,5616,1.000000,103.716194,0.008000,86,0.020000
Uniform Cost,Dense,true,16641,12470,1.000000,102.298912,0.036000,129,0.042000
Uniform Cost,Dense,true,37636,27634,1.000000,101.733162,0.154000,194,0.096000
Uniform Cost,Dense,true,84681,62516,1.000000,102.562988,0.779000,291,0.218000
Uniform Cost,Dense,true,190969,140088,1.000000,102.378395,3.793000,437,0.493000
Uniform Cost,Dense,false,430336,161220,1.000000,0.000000,5.001000,656,1.107000
Uniform Cost,Wall,false,100,69,1.000000,0.000000,0.000000,10,0.000000
Uniform Cost,Wall,true,121,103,1.000000,147.660370,0.001000,11,0.000000
Uniform Cost,Wall,true,289,248,1.000000,139.157974,0.000000,17,0.001000
Uniform Cost,Wall,true,625,525,1.000000,143.597977,0.000000,25,0.002000
Uniform Cost,Wall,true,1444,1213,1.000000,142.479248,0.000000,38,0.006000
Uniform Cost,Wall,true,3249,2721,1.000000,139.998245,0.003000,57,0.009000
Uniform Cost,Wall,true,7396,6194,1.000000,139.865402,0.010000,86,0.022000
Uniform Cost,Wall,true,16641,13887,1.000000,138.314911,0.044000,129,0.048000
Uniform Cost,Wall,true,37636,31374,1.000000,138.385544,0.199000,194,0.109000
Uniform Cost,Wall,true,84681,70614,1.000000,138.687729,0.988000,291,0.250000
Uniform Cost,Wall,true,190969,159145,1.000000,138.462418,4.859000,437,0.574000
Uniform Cost,Wall,false,430336,160911,1.000000,0.000000,5.001000,656,1.286000
Uniform Cost,NoSolution,false,100,66,1.000000,0.000000,0.000000,10,0.000000
Uniform Cost,NoSolution,false,121,78,1.000000,0.000000,0.000000,11,0.000000
Uniform Cost,NoSolution,false,289,187,1.000000,0.000000,0.000000,17,0.001000
Uniform Cost,NoSolution,false,625,398,1.000000,0.000000,0.000000,25,0.002000
Uniform Cost,NoSolution,false,1444,925,1.000000,0.000000,0.001000,38,0.004000
Uniform Cost,NoSolution,false,3249,2080,1.000000,0.000000,0.002000,57,0.010000
Uniform Cost,NoSolution,false,7396,4738,1.000000,0.000000,0.007000,86,0.023000
Uniform Cost,NoSolution,false,16641,10656,1.000000,0.000000,0.028000,129,0.053000
Uniform Cost,NoSolution,false,37636,24120,1.000000,0.000000,0.119000,194,0.118000
Uniform Cost,NoSolution,false,84681,54268,1.000000,0.000000,0.590000,291,0.267000
Uniform Cost,NoSolution,false,190969,122404,1.000000,0.000000,2.916000,437,0.609000
Uniform Cost,NoSolution,false,430336,161008,1.000000,0.000000,5.001000,656,1.370000
